Emp Id,Full_Name,Job_Title,Department,Business_Unit,Gender,Ethnicity,Age,Hire_Date,Annual_Salary,Bonus ,Country,City,experience,,,,,,,,,,,bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,08-04-2016,141604.00,15%,United States,Seattle,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Name,,
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,26-10-2006,163099.00,20%,United States,Chicago,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""ms""",,
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,27-09-2019,84913.00,7%,United States,Chicago,4,E03838,Madeline Walker,,,Emily Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,20-11-1995,95409.00,0%,United States,Phoenix,28,E03838,United States,,,E01639,Austin Vo,Phoenix,55,United States,20-11-1995,,Department,Gender,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country
E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,na,01-07-2020,119746.00,10%,United States,Phoenix,4,,Chicago,,,,,,,,,,IT,Female,>45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,16-05-2020,41336.00,0%,United States,Miami,4,,,Experinace,bonus,,,,,,,,,,,,,,,,,,,,,,,,,Business Unit,,City,Gender,,,,,,,,,,,,,,,,,,,China
E04533,Easton Bailey,Manager,0,Manufacturing,Male,Caucasian,29,25-01-2019,113527.00,6%,United States,Austin,5,,,0,1,E03838,Madeline Walker,13-06-2018,34,,,,,Emp Id,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,exp,,,Research & Development,,Chicago,Female,,,,,,,,,,,,,Age,Age,,,,,Brazil
E03838,Madeline Walker,Sr. Analyst,0,Speciality Products,Female,Caucasian,34,13-06-2018,77203.00,0%,United States,Chicago,6,,,3,3,,,,,,,,,E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,08-04-2016,"$1,41,604 ",15%,United States,Seattle,8,,,Corporate,,Phoenix,Female,,,,,,,,,,,,,>30,<45,,,,,
E00591,Savannah Ali,Sr. Manger,0,Manufacturing,Female,Asian,36,11-02-2009,157333.00,15%,United States,Miami,15,,,6,4,,,,,,,,,E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,09-01-2007,"$74,546 ",9%,United States,Seattle,17,,,,,,,,,,,,,,,,,,,,,,,,,
E03344,Camila Rogers,na,0,Speciality Products,Female,Caucasian,27,21-10-2021,109851.00,0%,United States,Seattle,2,,,8,5.5,,,,,,,,,E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,18-04-2006,"$1,34,486 ",14%,United States,Austin,18,,,Emp Id,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,exp,,,,,,,,,
E00530,Eli Jones,na,0,Manufacturing,Male,Caucasian,59,14-03-1999,105086.00,9%,United States,Austin,25,,,12,8,,,,,,,,,E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,09-08-2005,"$92,771 ",0%,United States,Miami,19,,,E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,01-07-2020,"$1,19,746 ",10%,United States,Phoenix,4,,,,,,,,,
E03496,Robert Yang,na,0,na,Male,Asian,31,04-11-2017,97078.00,0%,United States,Austin,6,,,18,9.5,,,,,,,,,E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,01-04-1992,"$53,809 ",0%,United States,Phoenix,32,,,E03247,Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,27,06-05-2018,"$49,011 ",0%,United States,Chicago,6,,,,,,,,,
E00549,Isabella Xi,na,Marketing,Research & Development,Female,Asian,41,13-03-2013,249270.00,30%,United States,Seattle,11,,,25,10,,,,,,,,,E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,18-05-1998,"$68,268 ",0%,United States,Phoenix,26,,,E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,22-12-2018,"$83,990 ",0%,United States,Chicago,5,,,,,,,,,
E00163,Bella Powell,Director,na,Research & Development,Female,Black,65,04-03-2002,175837.00,20%,United States,Phoenix,22,,,30,15,,,,,,,,,E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,62,15-03-2009,"$82,839 ",0%,United States,Miami,15,,,E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,28-01-2021,"$95,786 ",0%,United States,Chicago,3,,,,,,,,,
